,Link,Price,Price/m2,Number of rooms,m2,Date sold,Rent,Drift cost,Number of floors,Built year,Region
2008,https://www.booli.se/annons/3119734,3400000,60714,2,56,2018-04-12,3320,374,1,1948,Solna
2009,https://www.booli.se/annons/3126739,2950000,56731,2,52,2018-04-16,3407,391,3,2007,Solna
2010,https://www.booli.se/annons/2392149,5710000,66012,3,87,2018-04-17,4370,886,1,2002,Solna
2011,https://www.booli.se/annons/3138084,3995000,51883,3,77,2018-05-14,3669,700,3,1936,Solna
2012,https://www.booli.se/annons/3141040,5660000,48584,5,117,2018-05-12,6658,1491,6,2011,Solna
2013,https://www.booli.se/annons/3138424,3005000,48468,2,62,2018-05-11,2502,643,6,1969,Solna
2014,https://www.booli.se/annons/3125499,2675000,43852,2,61,2018-05-05,3744,670,4,1959,Solna
2015,https://www.booli.se/annons/3139288,2750000,59783,1.5,46,2018-05-10,2496,270,1,1929,Solna
2016,https://www.booli.se/annons/3121729,3720000,45926,4,81,2018-05-09,4456,400,2,1973,Solna
2017,https://www.booli.se/annons/3139203,3000000,47619,2.5,63,2018-05-09,3259,467,0,1988,Solna
2018,https://www.booli.se/annons/3137261,3525000,69802,2,51,2018-05-08,2957,402,3,1948,Solna
2019,https://www.booli.se/annons/3079608,2495000,54239,1.5,46,2018-05-04,2528,266,5,1965,Solna
2020,https://www.booli.se/annons/3122129,2350000,69118,1.5,34,2018-04-27,2445,400,4,2004,Solna
2021,https://www.booli.se/annons/2374456,4650000,48187,4,97,2018-04-29,5665,533,3,1999,Solna
2022,https://www.booli.se/bostad/3926313,3895000,51250,3,76,2018-05-02,5214,343,3,2004,Solna
2023,https://www.booli.se/annons/3126133,2070000,108947,1,19,2018-04-27,911,294,5,1951,Solna
2024,https://www.booli.se/annons/3130803,2375000,69853,1,34,2018-04-27,2150,150,3,1972,Solna
2025,https://www.booli.se/annons/3127967,3300000,56897,2,58,2018-04-26,3324,275,4,2000,Solna
2026,https://www.booli.se/annons/3126307,2320000,72500,1,32,2018-04-25,1472,333,3,1960,Solna
2027,https://www.booli.se/annons/3123003,3880000,50390,3,77,2018-04-25,3724,450,3,1954,Solna
2028,https://www.booli.se/annons/3001026,3970000,49625,3,80,2018-04-25,3449,625,4,2011,Solna
2029,https://www.booli.se/annons/2323508,2975000,57212,2,52,2018-03-06,1894,400,2,1954,Solna
2030,https://www.booli.se/annons/3124015,2950000,40746,3,72,2018-04-24,3532,800,5,1983,Solna
2031,https://www.booli.se/annons/3120639,2650000,43514,2,61,2018-04-21,2018,400,1,1966,Solna
2032,https://www.booli.se/annons/3088506,2760000,56327,2,49,2018-04-20,3103,350,10,2015,Solna
2033,https://www.booli.se/annons/3125565,3200000,55172,2,58,2018-04-20,3163,291,6,1964,Solna
2034,https://www.booli.se/annons/3122301,4520000,50503,3,90,2018-04-14,4579,1020,2,1991,Solna
2035,https://www.booli.se/annons/3122301,4520000,50503,3,90,2018-04-14,4579,1020,2,1991,Solna
2036,https://www.booli.se/annons/3123001,2500000,68120,2,37,2018-04-20,1712,200,1,1939,Solna
2037,https://www.booli.se/annons/3121358,2875000,66860,2,43,2018-04-19,2014,325,4,1985,Solna
2038,https://www.booli.se/annons/3118193,3000000,40000,3,75,2018-04-16,4690,467,0,1954,Solna
2039,https://www.booli.se/annons/3120173,2300000,85185,1,27,2018-04-16,1759,734,2,1938,Solna
2040,https://www.booli.se/annons/3028794,3910000,48875,3,80,2018-04-14,3449,733,2,2011,Solna
2041,https://www.booli.se/annons/3110976,2600000,81250,1,32,2018-04-13,1840,450,2,2018,Solna
2042,https://www.booli.se/annons/3097515,2730000,63488,2,43,2018-04-10,3349,350,3,1992,Solna
2043,https://www.booli.se/annons/3062181,4000000,47059,3,85,2018-04-09,4720,591,1,2006,Solna
2044,https://www.booli.se/annons/3118879,3010000,57885,2,52,2018-04-06,2343,350,3,1952,Solna
2045,https://www.booli.se/annons/3026537,3650000,40331,4,91,2018-04-03,5417,447,2,1988,Solna
2046,https://www.booli.se/annons/3106079,3350000,41875,3,80,2018-04-03,4320,700,1,1969,Solna
2047,https://www.booli.se/annons/3106079,3350000,41875,3,80,2018-04-03,4320,700,1,1969,Solna
2048,https://www.booli.se/annons/3110667,12995000,74257,5,175,2018-04-03,8498,2667,0,2014,Solna
2049,https://www.booli.se/annons/3078713,4000000,50000,3,80,2018-03-29,4480,120,1,2017,Solna
2050,https://www.booli.se/annons/3055969,3695000,48618,3,76,2018-03-29,3759,400,5,1954,Solna
2051,https://www.booli.se/annons/3110042,4850000,48990,4,99,2018-03-27,4809,700,3,2013,Solna
2052,https://www.booli.se/annons/3052663,2750000,50366,2,55,2018-03-21,1822,290,8,1965,Solna
2053,https://www.booli.se/annons/3088717,2500000,78125,1,32,2018-03-20,1840,450,2,2018,Solna
2054,https://www.booli.se/bostad/3950126,2200000,47826,2,46,2018-03-19,2405,451,7,1964,Solna
2055,https://www.booli.se/annons/3101209,2605000,60581,2,43,2018-03-16,1980,300,2,1985,Solna
2056,https://www.booli.se/annons/3084855,3295000,49179,3,67,2018-03-14,2716,384,3,1959,Solna
2057,https://www.booli.se/annons/3097176,2060000,89565,1,23,2018-03-12,864,381,4,1950,Solna
2058,https://www.booli.se/annons/3091105,3850000,61111,2.5,63,2018-03-01,3773,573,0,2006,Solna
2059,https://www.booli.se/annons/3092673,2400000,53571,1,45,2018-03-05,2328,350,2,1976,Solna
2060,https://www.booli.se/annons/3091228,5800000,46032,5,126,2018-03-08,6051,600,2,2002,Solna
2061,https://www.booli.se/annons/3072834,3975000,53000,3,75,2018-03-02,4588,767,4,2007,Solna
2062,https://www.booli.se/annons/3090225,3250000,46495,2.5,70,2018-03-01,3329,208,1,2002,Solna
2063,https://www.booli.se/annons/2275065,3995000,52566,2.5,76,2018-03-07,3230,547,2,1931,Solna
2064,https://www.booli.se/annons/2253120,3300000,56897,2,58,2018-03-06,2318,458,4,1952,Solna
2065,https://www.booli.se/annons/3092944,2595000,58977,1,44,2018-03-05,1704,280,1,1909,Solna
2066,https://www.booli.se/annons/3062879,4200000,77778,2,54,2018-03-01,2208,250,3,1912,Solna
2067,https://www.booli.se/annons/3086785,2700000,40909,2,66,2018-02-26,4049,488,2,1968,Solna
2068,https://www.booli.se/annons/3092378,3300000,47826,3,69,2018-02-26,2588,1160,3,1959,Solna
2069,https://www.booli.se/annons/3049521,2850000,49138,2,58,2018-02-10,3098,347,6,1916,Solna
2070,https://www.booli.se/annons/3092072,3570000,57581,2,62,2018-02-28,3746,350,1.5,1938,Solna
2071,https://www.booli.se/annons/3078633,4250000,48851,4,87,2018-02-27,4541,647,5,2014,Solna
2072,https://www.booli.se/annons/3088212,2600000,55319,1.5,47,2018-02-27,2662,532,2,2006,Solna
2073,https://www.booli.se/annons/3088212,2600000,55319,1.5,47,2018-02-27,2662,532,2,2006,Solna
2074,https://www.booli.se/annons/1689099,4300000,58108,3,74,2018-02-26,4392,728,4,1951,Solna
